subject_key,split,site,config,runtime_s,trimmed_outside_head_voxels,brain_volume_ml,head_volume_ml,brain_fraction_of_head,shallow_fraction,shallow_volume_ml,mean_depth_mm,outside_head_voxels,wmh_retained_fraction,wmh_lost_voxels
training_Amsterdam_GE3T_100,training,Amsterdam,hdbet_flair,60.64078903198242,1147,1437.3657839428076,2617.9580283641385,0.5490408052267218,0.04267002580503137,61.33243509210875,22.44273798586299,0,1.0,0
training_Amsterdam_GE3T_101,training,Amsterdam,hdbet_flair,68.70069646835327,1355,1755.5948101601894,3331.0983245245534,0.5270318192756334,0.045521177530790026,79.9167430254356,24.629413908493614,0,1.0,0
training_Amsterdam_GE3T_102,training,Amsterdam,hdbet_flair,53.11006498336792,607,1398.1328968589012,3017.1847759495527,0.46338988185398367,0.04233245915983797,59.186403756305396,23.12377736225754,0,1.0,0
training_Amsterdam_GE3T_103,training,Amsterdam,hdbet_flair,64.2549262046814,517,1259.299565969456,2859.7263037427024,0.4403566748053238,0.04714855648027427,59.37415671169577,21.29526024896228,0,1.0,0
training_Amsterdam_GE3T_104,training,Amsterdam,hdbet_flair,53.88923215866089,855,1602.9932426524235,3783.4993037611466,0.4236800680943434,0.0384300738027613,61.603148620460274,24.208290522702736,0,1.0,0
training_Amsterdam_GE3T_105,training,Amsterdam,hdbet_flair,52.56153964996338,962,1485.2996572615702,3184.3821394383517,0.4664326052034513,0.04973856069912822,73.87666715909896,22.657950728336914,0,1.0,0
training_Amsterdam_GE3T_106,training,Amsterdam,hdbet_flair,58.63394832611084,1150,1460.2815083297592,2700.279551303762,0.5407890111320878,0.06580186010453759,96.08923952435794,21.44075342003857,0,1.0,0
training_Amsterdam_GE3T_107,training,Amsterdam,hdbet_flair,59.62638831138611,90,1239.657014243482,3003.0075912029374,0.4128051550302287,0.015575723199092456,19.308554515669893,25.6901632914688,0,1.0,0
training_Amsterdam_GE3T_108,training,Amsterdam,hdbet_flair,66.83612084388733,1510,1277.4808960753376,2560.337321002263,0.4989502303451401,0.06620652075197529,84.57756545626386,20.310291261829107,0,1.0,0
training_Amsterdam_GE3T_109,training,Amsterdam,hdbet_flair,63.00582718849182,758,1699.163344659276,3734.1696736793247,0.4550311028007114,0.03690882869610738,62.714128814734075,24.653910211132686,0,1.0,0
