split,subject_key,site,method,reference_value,reference_voxels,brain_median,brain_p99,nawm_level,lesion_level,lesion_p10,lesion_over_nawm,threshold,dice,recall,predicted_volume_ratio
training,training_Amsterdam_GE3T_100,Amsterdam,wm_referenced,880.5067749023438,140297,1.0171301247734768,1.3902777241139277,1.0,1.429475823297616,1.227247048655771,1.429475823297616,1.3,0.1520582165743456,0.7847533632286996,9.321748878923767
training,training_Amsterdam_GE3T_101,Amsterdam,wm_referenced,636.0361633300781,174260,0.9900859495990549,1.5779721809706564,1.0,1.5679474828100082,1.3363757628780817,1.5679474828100082,1.3,0.03325175461661374,0.9288135593220339,54.86553672316384
training,training_Amsterdam_GE3T_102,Amsterdam,wm_referenced,712.7575378417969,137432,1.039582346687239,1.5219486000789768,1.0,1.4030810289540783,1.1989301256112066,1.4030810289540783,1.3,0.033571254613237414,0.7231638418079096,42.082324455205814
training,training_Amsterdam_GE3T_103,Amsterdam,wm_referenced,806.5077514648438,119477,0.9559380354951024,1.49183685296829,1.0,1.4924398487856239,1.262375468477215,1.4924398487856239,1.3,0.6224085193157358,0.8503327658257236,1.732394366197183
training,training_Amsterdam_GE3T_104,Amsterdam,wm_referenced,686.6348571777344,159330,0.9465583266158217,1.6261480749190287,1.0,1.6118601128524173,1.3303175858149978,1.6118601128524173,1.3,0.4114978114657841,0.9250059995200384,3.4958003359731222
training,training_Amsterdam_GE3T_105,Amsterdam,wm_referenced,763.1641540527344,131876,0.929392995175061,1.500071210227164,1.0,1.6133643519310694,1.3413979074882867,1.6133643519310694,1.3,0.2531624569698478,0.9384993849938499,6.4142066420664205
training,training_Amsterdam_GE3T_106,Amsterdam,wm_referenced,648.2495727539062,148471,1.0308693568100167,1.5588990785262407,1.0,1.6838360816354816,1.4282972258243893,1.6838360816354816,1.3,0.031784243290515504,0.9814169570267132,60.75493612078978
training,training_Amsterdam_GE3T_107,Amsterdam,wm_referenced,792.235107421875,119600,0.9697115480917535,1.4070214360885003,1.0,1.6193519558581755,1.3447614865354183,1.6193519558581755,1.3,0.2468916518650089,0.9397183098591549,6.612394366197183
training,training_Amsterdam_GE3T_108,Amsterdam,wm_referenced,711.5003051757812,122225,1.0432184480331976,1.5105425555541927,1.0,1.5369743783702823,1.2811102062832986,1.5369743783702823,1.3,0.017032013877937235,0.8729792147806005,101.51039260969976
training,training_Amsterdam_GE3T_109,Amsterdam,wm_referenced,689.9038696289062,166311,0.9768085400966171,1.4706845002625322,1.0,1.3782168350454311,1.1760001450892807,1.3782168350454311,1.3,0.02379689778602678,0.6551094890510949,54.058394160583944
training,training_Amsterdam_GE3T_110,Amsterdam,wm_referenced,615.9641723632812,175560,1.023392241960603,1.6070283612980127,1.0,1.6596267701100986,1.3753757769677377,1.6596267701100986,1.3,0.028861308116627266,0.9585605234460196,65.42529989094875
training,training_Amsterdam_GE3T_112,Amsterdam,wm_referenced,777.9925842285156,120802,0.980284436738007,1.3716064853374388,1.0,1.4682822256438672,1.2556829508786655,1.4682822256438672,1.3,0.23122377322942536,0.8241758241758241,6.128815628815629
training,training_Amsterdam_GE3T_113,Amsterdam,wm_referenced,781.4209594726562,139488,0.9929498630807431,1.5569931923490805,1.0,1.5948364736747842,1.346573691178985,1.5948364736747842,1.3,0.4678227360308285,0.9413771712158809,3.024503722084367
training,training_Amsterdam_GE3T_114,Amsterdam,wm_referenced,764.9957885742188,138363,0.9660787472740472,1.4306763985166044,1.0,1.5267126020579254,1.2640124126245016,1.5267126020579254,1.3,0.5795486600846262,0.8565770273087346,1.9560141755263707
