subject_key,site,radius_mm,volume_fraction_retained,volume_fraction_removed
training_Amsterdam_GE3T_101,Amsterdam,1.0,0.2576271186440678,0.7423728813559323
training_Amsterdam_GE3T_101,Amsterdam,2.0,0.0,1.0
training_Amsterdam_GE3T_101,Amsterdam,3.0,0.0,1.0
training_Amsterdam_GE3T_102,Amsterdam,1.0,0.1848264729620662,0.8151735270379338
training_Amsterdam_GE3T_102,Amsterdam,2.0,0.0,1.0
training_Amsterdam_GE3T_102,Amsterdam,3.0,0.0,1.0
training_Amsterdam_GE3T_104,Amsterdam,1.0,0.7549796016318695,0.2450203983681305
training_Amsterdam_GE3T_104,Amsterdam,2.0,0.41372690184785216,0.5862730981521478
training_Amsterdam_GE3T_104,Amsterdam,3.0,0.19654427645788336,0.8034557235421167
training_Amsterdam_GE3T_105,Amsterdam,1.0,0.5365928659286593,0.4634071340713407
training_Amsterdam_GE3T_105,Amsterdam,2.0,0.14329643296432965,0.8567035670356704
training_Amsterdam_GE3T_105,Amsterdam,3.0,0.0,1.0
training_Amsterdam_GE3T_106,Amsterdam,1.0,0.3821138211382114,0.6178861788617886
training_Amsterdam_GE3T_106,Amsterdam,2.0,0.0,1.0
training_Amsterdam_GE3T_106,Amsterdam,3.0,0.0,1.0
training_Amsterdam_GE3T_109,Amsterdam,1.0,0.15328467153284672,0.8467153284671532
training_Amsterdam_GE3T_109,Amsterdam,2.0,0.0,1.0
training_Amsterdam_GE3T_109,Amsterdam,3.0,0.0,1.0
training_Amsterdam_GE3T_110,Amsterdam,1.0,0.40458015267175573,0.5954198473282443
training_Amsterdam_GE3T_110,Amsterdam,2.0,0.11995637949836423,0.8800436205016358
training_Amsterdam_GE3T_110,Amsterdam,3.0,0.0,1.0
training_Amsterdam_GE3T_112,Amsterdam,1.0,0.3595848595848596,0.6404151404151404
training_Amsterdam_GE3T_112,Amsterdam,2.0,0.018315018315018316,0.9816849816849816
training_Amsterdam_GE3T_112,Amsterdam,3.0,0.0,1.0
training_Amsterdam_GE3T_113,Amsterdam,1.0,0.7724875930521092,0.22751240694789077
training_Amsterdam_GE3T_113,Amsterdam,2.0,0.37344913151364767,0.6265508684863523
training_Amsterdam_GE3T_113,Amsterdam,3.0,0.1353908188585608,0.8646091811414391
training_Amsterdam_GE3T_114,Amsterdam,1.0,0.7100271002710027,0.2899728997289973
training_Amsterdam_GE3T_114,Amsterdam,2.0,0.3500104231811549,0.6499895768188451
training_Amsterdam_GE3T_114,Amsterdam,3.0,0.1698978528246821,0.8301021471753179
training_Amsterdam_GE3T_115,Amsterdam,1.0,0.33051742344244983,0.6694825765575502
training_Amsterdam_GE3T_115,Amsterdam,2.0,0.0,1.0
training_Amsterdam_GE3T_115,Amsterdam,3.0,0.0,1.0
training_Amsterdam_GE3T_116,Amsterdam,1.0,0.21207177814029363,0.7879282218597063
training_Amsterdam_GE3T_116,Amsterdam,2.0,0.0,1.0
training_Amsterdam_GE3T_116,Amsterdam,3.0,0.0,1.0
training_Amsterdam_GE3T_126,Amsterdam,1.0,0.7323317816335168,0.26766821836648325
training_Amsterdam_GE3T_126,Amsterdam,2.0,0.3495556495979687,0.6504443504020313
training_Amsterdam_GE3T_126,Amsterdam,3.0,0.05459162082099027,0.9454083791790098
training_Amsterdam_GE3T_132,Amsterdam,1.0,0.8236814473790486,0.17631855262095142
training_Amsterdam_GE3T_132,Amsterdam,2.0,0.5318633389871578,0.46813666101284224
training_Amsterdam_GE3T_132,Amsterdam,3.0,0.3359987076972781,0.6640012923027219
training_Amsterdam_GE3T_137,Amsterdam,1.0,0.4043887147335423,0.5956112852664577
training_Amsterdam_GE3T_137,Amsterdam,2.0,0.08385579937304075,0.9161442006269592
training_Amsterdam_GE3T_137,Amsterdam,3.0,0.0,1.0
training_Amsterdam_GE3T_144,Amsterdam,1.0,0.11075949367088607,0.8892405063291139
training_Amsterdam_GE3T_144,Amsterdam,2.0,0.0,1.0
training_Amsterdam_GE3T_144,Amsterdam,3.0,0.0,1.0
training_Singapore_Singapore_50,Singapore,1.0,0.8236187361289569,0.17638126387104314
training_Singapore_Singapore_50,Singapore,2.0,0.5018105361523186,0.49818946384768137
training_Singapore_Singapore_50,Singapore,3.0,0.2808083167854223,0.7191916832145777
training_Singapore_Singapore_51,Singapore,1.0,0.7935935032709226,0.2064064967290774
training_Singapore_Singapore_51,Singapore,2.0,0.5222197157681029,0.4777802842318971
training_Singapore_Singapore_51,Singapore,3.0,0.24768779607489286,0.7523122039251071
training_Singapore_Singapore_52,Singapore,1.0,0.5825242718446602,0.41747572815533984
training_Singapore_Singapore_52,Singapore,2.0,0.2566747572815534,0.7433252427184466
training_Singapore_Singapore_52,Singapore,3.0,0.029733009708737865,0.9702669902912622
training_Singapore_Singapore_53,Singapore,1.0,0.15485564304461943,0.8451443569553806
training_Singapore_Singapore_53,Singapore,2.0,0.0,1.0
training_Singapore_Singapore_53,Singapore,3.0,0.0,1.0
training_Singapore_Singapore_54,Singapore,1.0,0.14885496183206107,0.851145038167939
training_Singapore_Singapore_54,Singapore,2.0,0.0,1.0
training_Singapore_Singapore_54,Singapore,3.0,0.0,1.0
training_Singapore_Singapore_55,Singapore,1.0,0.49222797927461137,0.5077720207253886
training_Singapore_Singapore_55,Singapore,2.0,0.0,1.0
training_Singapore_Singapore_55,Singapore,3.0,0.0,1.0
training_Singapore_Singapore_57,Singapore,1.0,0.8309886297937946,0.16901137020620538
training_Singapore_Singapore_57,Singapore,2.0,0.618038157641164,0.381961842358836
training_Singapore_Singapore_57,Singapore,3.0,0.4553863942956254,0.5446136057043747
training_Singapore_Singapore_58,Singapore,1.0,0.2983425414364641,0.7016574585635359
training_Singapore_Singapore_58,Singapore,2.0,0.0,1.0
training_Singapore_Singapore_58,Singapore,3.0,0.0,1.0
training_Singapore_Singapore_59,Singapore,1.0,0.7597203274215553,0.24027967257844474
training_Singapore_Singapore_59,Singapore,2.0,0.47424965893587995,0.52575034106412
training_Singapore_Singapore_59,Singapore,3.0,0.2743860845839018,0.7256139154160982
training_Singapore_Singapore_60,Singapore,1.0,0.8858306417637972,0.11416935823620278
training_Singapore_Singapore_60,Singapore,2.0,0.7473669428451061,0.2526330571548939
training_Singapore_Singapore_60,Singapore,3.0,0.5368628001685156,0.4631371998314844
training_Singapore_Singapore_61,Singapore,1.0,0.7470103092783505,0.25298969072164945
training_Singapore_Singapore_61,Singapore,2.0,0.40989690721649485,0.5901030927835051
training_Singapore_Singapore_61,Singapore,3.0,0.22948453608247424,0.7705154639175258
training_Singapore_Singapore_62,Singapore,1.0,0.9022696145568382,0.09773038544316182
training_Singapore_Singapore_62,Singapore,2.0,0.7576306006652318,0.2423693993347682
training_Singapore_Singapore_62,Singapore,3.0,0.5739581295245548,0.4260418704754452
