split,subject_key,site,threshold,min_size_voxels,dice,predicted_voxels,reference_voxels,volume_ratio,recall_voxelwise
train,training_Amsterdam_GE3T_101,Amsterdam,1.05,0,0.009126895688072421,187569,885,211.94237288135594,0.9717514124293786
train,training_Amsterdam_GE3T_101,Amsterdam,1.05,2,0.009137271568210795,187355,885,211.70056497175142,0.9717514124293786
train,training_Amsterdam_GE3T_101,Amsterdam,1.05,3,0.009143586199564084,187225,885,211.5536723163842,0.9717514124293786
train,training_Amsterdam_GE3T_101,Amsterdam,1.05,5,0.009152343957856648,187045,885,211.3502824858757,0.9717514124293786
train,training_Amsterdam_GE3T_101,Amsterdam,1.1,0,0.011349715594933021,150132,885,169.6406779661017,0.9683615819209039
train,training_Amsterdam_GE3T_101,Amsterdam,1.1,2,0.011372382494227553,149831,885,169.3005649717514,0.9683615819209039
train,training_Amsterdam_GE3T_101,Amsterdam,1.1,3,0.011389612460794216,149603,885,169.04293785310733,0.9683615819209039
train,training_Amsterdam_GE3T_101,Amsterdam,1.1,5,0.011409020714628041,149347,885,168.75367231638418,0.9683615819209039
train,training_Amsterdam_GE3T_101,Amsterdam,1.15,0,0.014399239285471712,116899,885,132.08926553672316,0.9581920903954803
train,training_Amsterdam_GE3T_101,Amsterdam,1.15,2,0.014448552588982979,116497,885,131.63502824858756,0.9581920903954803
train,training_Amsterdam_GE3T_101,Amsterdam,1.15,3,0.014481121603852525,116233,885,131.3367231638418,0.9581920903954803
train,training_Amsterdam_GE3T_101,Amsterdam,1.15,5,0.014524900441056823,115880,885,130.93785310734464,0.9581920903954803
train,training_Amsterdam_GE3T_101,Amsterdam,1.2,0,0.018788142495342015,88746,885,100.27796610169491,0.9514124293785311
train,training_Amsterdam_GE3T_101,Amsterdam,1.2,2,0.018864115562334575,88279,885,99.7502824858757,0.9502824858757062
train,training_Amsterdam_GE3T_101,Amsterdam,1.2,3,0.018938455648884186,87929,885,99.35480225988701,0.9502824858757062
train,training_Amsterdam_GE3T_101,Amsterdam,1.2,5,0.01902671885251465,87517,885,98.88926553672316,0.9502824858757062
train,training_Amsterdam_GE3T_101,Amsterdam,1.25,0,0.024770780099203367,65645,885,74.17514124293785,0.9310734463276836
train,training_Amsterdam_GE3T_101,Amsterdam,1.25,2,0.02498294550140226,65080,885,73.53672316384181,0.9310734463276836
train,training_Amsterdam_GE3T_101,Amsterdam,1.25,3,0.02514917059622457,64644,885,73.04406779661016,0.9310734463276836
train,training_Amsterdam_GE3T_101,Amsterdam,1.25,5,0.025381961557417447,64043,885,72.36497175141243,0.9310734463276836
train,training_Amsterdam_GE3T_101,Amsterdam,1.3,0,0.03343108504398827,46855,885,52.943502824858754,0.9016949152542373
train,training_Amsterdam_GE3T_101,Amsterdam,1.3,2,0.033837858492368436,46222,885,52.22824858757062,0.9005649717514125
train,training_Amsterdam_GE3T_101,Amsterdam,1.3,3,0.03399712760712525,45766,885,51.712994350282486,0.896045197740113
train,training_Amsterdam_GE3T_101,Amsterdam,1.3,5,0.03421515988087733,45118,885,50.980790960451976,0.8892655367231639
train,training_Amsterdam_GE3T_101,Amsterdam,1.35,0,0.045428733674048836,32574,885,36.80677966101695,0.8587570621468926
train,training_Amsterdam_GE3T_101,Amsterdam,1.35,2,0.046301937370537345,31943,885,36.09378531073446,0.8587570621468926
